theme,content,description
動物,キリンの首の骨は人間と同じ7個,大型動物も人間も頸椎の数は同じ7個です。
動物,ゾウはジャンプができない唯一の哺乳類,体重が重すぎるため、身体構造上ジャンプができません。
動物,イカの心臓は実は3つもある,全身用の心臓が1つ、左右のエラ用に2つの心臓があります。
動物,シロクマの肌は実は真っ黒,白い毛は光を反射するため白く見えますが、肌は熱を吸収する黒色です。
動物,フラミンゴは赤い色素を食べて赤くなる,エサに含まれるプランクトンの成分で体が赤くなります。
動物,カバの汗はピンク色をしている,殺菌作用と日焼け止めの効果がある特殊な粘液です。
動物,アリは一生の間一度も眠らない,脳が小さいため、数分間の短い休息を繰り返して活動し続けます。
動物,ダチョウの脳みそは目玉より小さい,脳の重さは約40gですが、目玉はテニスボールほどの大きさがあります。
動物,牛は階段を上がれるが下りられない,膝の構造が下る動作に適していないため、降りるのが苦手です。
動物,ワニは舌を出すことができない,舌が口の底に張り付いているため、ベーっと出すことができません。
動物,ペンギンは空を飛べないが泳ぎの名手,翼がヒレ状のフリッパーに進化しており、海中を飛ぶように泳ぎます。
動物,ナマケモノは週に一度しか排泄しない,代謝が非常に遅く、一度に体重の約3分の1もの量を排泄します。
動物,コアラの指紋は人間と見分けがつかない,霊長類以外で指紋を持つ珍しい動物で、プロでも識別が困難です。
動物,カンガルーは後ろに歩くことができない,大きな尻尾と足の構造が前進跳躍に特化しているためです。
動物,ラッコは流されないよう手を繋いで寝る,海藻に体を巻きつけたり、仲間と手を繋いで海流に流されるのを防ぎます。
動物,タコは脳が9つ、心臓が3つある,各腕に小さな脳があり、分散して体を制御しています。
動物,イルカは左右の脳を交互に眠らせる,半分ずつ眠る「半球睡眠」を行い、泳ぎながら休息します。
動物,猫は一生の3分の2を寝て過ごす,狩りに備えてエネルギーを温存する習性があり、よく寝ます。
動物,カタツムリは3万本以上の歯がある,舌にある「歯舌」というおろし金のような微細な歯で食べ物を削ります。
動物,パンダの尻尾は実は白色,ぬいぐるみ等は黒いことが多いですが、実物は白色です。
宇宙,太陽の光が地球に届くまで約8分,光速で約1億5千万kmを移動するのに、約8分19秒かかります。
宇宙,宇宙空間では涙が流れない,重力がないため涙が頬を伝わず、目の周りにたまってしまいます。
宇宙,金星の一日は一年よりも長い,自転が非常に遅いため、公転周期（1年）よりも自転周期（1日）が長いです。
宇宙,木星はガスでできており地面がない,主に水素とヘリウムのガスで構成された巨大な惑星です。
宇宙,宇宙は完全な無音の世界である,音を伝える空気が存在しないため、爆発があっても何も聞こえません。
宇宙,宇宙服一着の値段は約10億円以上,生命維持装置などが詰まった、一人用の宇宙船とも言える機材です。
宇宙,月は毎年3.8cmずつ地球から離れている,潮汐力の相互作用により、少しずつ地球から遠ざかっています。
宇宙,火星の夕焼けは青色に見える,火星のチリが赤い光を散乱させ、夕方には青い光が届くためです。
宇宙,冥王星の一周は248年もかかる,太陽から非常に遠いため、公転するのに地球の時間で248年かかります。
宇宙,宇宙では身長が数センチ伸びる,重力から解放され、背骨の椎間板の隙間が広がるためです。
宇宙,土星の輪の厚さはわずか10m〜1km,幅は数万kmありますが、厚みは極めて薄い氷の粒の集まりです。
宇宙,天王星は横倒しになって回転している,自転軸が約98度傾いており、転がるように公転しています。
宇宙,太陽系で最も高い山は火星にある,オリンポス山は標高約21kmで、エベレストの約2.5倍の高さです。
宇宙,土星は水に浮くほど密度が低い,主にガスでできているため、もし巨大なプールがあればぷかぷか浮きます。
宇宙,彗星の尻尾は太陽と反対側に伸びる,太陽風という微粒子の流れが、彗星のガスを吹き飛ばすためです。
宇宙,ブラックホールは光さえも飲み込む,重力が強すぎて、秒速30万kmの光でさえ脱出できません。
宇宙,地球の回転速度は少しずつ遅くなっている,潮汐摩擦という現象により、一日の長さがわずかに伸びています。
宇宙,宇宙には1000億以上の銀河がある,観測可能な範囲だけでも、想像を絶する数の銀河が存在します。
宇宙,中性子星のさじ一杯は10億トン,超高密度な星で、物質が極限まで圧縮されています。
宇宙,流れ星の正体は小さなチリの塊,彗星などが残したチリが地球の大気に突入し、燃え尽きる際の光です。
科学,ダイヤモンドは実は燃える,純粋な炭素なので、高温環境で十分な酸素があれば燃焼します。
科学,音は空気中より水中の方が速く伝わる,水の方が空気より分子密度が高く、振動が速く伝わるためです。
科学,水は凍ると体積が増える,水分子が六角形の結晶を作り隙間ができるため、体積が増加します。
科学,光は一秒間に地球を7周半する,秒速約30万kmという、宇宙で最も速い速度です。
科学,雷の温度は太陽の表面より熱い,雷は約3万度にもなり、太陽表面の約6千度を遥かに超えます。
科学,ガラスは実は液体のように流れている,アモルファス構造を持ち、極めて粘度の高い液体とも表現されます。
科学,バナナは微量の放射能を出している,カリウム40という自然由来の放射性物質をごく微量含んでいます。
科学,ガリウムは手のひらの体積で溶ける,融点が29.76度と低いため、人の体温で溶けて液体になります。
科学,人間の脳の電力は20ワット程度,冷蔵庫の庫内灯くらいのわずかな電力で、高度な処理を行っています。
科学,リンゴは85%が水なので水に浮く,内部に多くの空気を含んでいるため、全体としての密度が水より低いです。
科学,雪の結晶は一つとして同じ形がない,落下中の温度や湿度の変化により、複雑で固有の形に成長します。
科学,植物もストレスを感じると声を出す,乾燥などのストレス下で、人間には聞こえない超音波を発します。
科学,純粋な水は電気を通さない,不純物がない水には電気を運ぶイオンが存在しないため、絶縁体です。
